Outcome,N treated,TWFE (Cohort B),TWFE SE,CS (pooled),CS SE
Candidacy (pp),592,-2.15,2.80,+1.22,1.57
Reelection (pp),623,-3.45,2.94,-0.23,1.62
Winner vote share (%),637,-0.90,0.69,+0.20,0.42
Abstention (%),637,-0.41,0.41,+0.49**,0.22
Candidate turnover (%),621,-0.42,1.10,-0.69,0.78
Incumbent vote share (%),429,+1.60,1.31,+0.45,0.57
