code_insee
03003
03006
03019
03022
03025
03027
03036
03042
03043
03044
03045
03046
03048
03050
03053
03055
03063
03066
03074
03082
03084
03087
03100
03102
03103
03104
03106
03107
03111
03112
03113
03118
03126
03128
03131
03132
03138
03155
03156
03161
03165
03173
03174
03181
03189
03195
03197
03200
03202
03210
03224
03235
03236
03240
03247
03254
03257
03258
03262
03264
03265
03275
03283
03288
03290
03292
03297
03301
03309
03314
03315
03316
03320
63001
63003
63004
63008
63009
63010
63013
63016
63022
63026
63028
63034
63035
63037
63040
63041
63047
63048
63052
63053
63055
63066
63072
63077
63080
63085
63089
63091
63093
63094
63098
63102
63110
63116
63118
63121
63125
63128
63131
63139
63143
63146
63148
63151
63152
63162
63165
63171
63179
63180
63182
63184
63185
63187
63190
63192
63195
63196
63198
63201
63206
63207
63210
63211
63213
63222
63223
63225
63229
63231
63233
63234
63236
63237
63250
63258
63265
63271
63273
63274
63276
63279
63281
63282
63283
63285
63289
63291
63295
63301
63302
63309
63313
63314
63315
63317
63319
63321
63322
63332
63334
63336
63345
63346
63349
63350
63352
63353
63354
63360
63368
63370
63377
63380
63381
63387
63388
63393
63396
63397
63400
63412
63414
63415
63419
63423
63425
63426
63432
63434
63450
63457
63460
63463
63468
63469
63471
74001
74002
74003
74006
74014
74015
74018
74025
74037
74038
74050
74054
74058
74063
74064
74073
74075
74076
74079
74080
74083
74085
74089
74096
74097
74102
74103
74104
74127
74131
74134
74136
74137
74138
74139
74141
74142
74146
74147
74155
74159
74160
74161
74165
74170
74176
74178
74183
74188
74190
74191
74192
74206
74210
74211
74212
74215
74233
74237
74238
74239
74240
74249
74258
74265
74266
74269
74273
74276
74279
74283
74284
74286
74287
74288
74289
74290
74292
74293
74294
74301
74308
74309
74310
83001
83003
83008
83011
83012
83017
83018
83026
83027
83028
83032
83033
83035
83043
83045
83046
83048
83056
83058
83063
83065
83066
83067
83068
83077
83083
83087
83088
83092
83094
83097
83100
83101
83104
83106
83107
83108
83110
83111
83113
83117
83119
83124
83125
83127
83134
83135
83136
83138
83143
83145
83146
83149
83150
