Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2014,114,-0.57,1.61,-3.73,2.6,0.726,FALSE
Winner vote share (% valid votes),Mayor stability,Same mayor 2008-2014,188,0.18,0.99,-1.76,2.12,0.854,FALSE
Winner vote share (% valid votes),Municipality size,"< 1,000 registered voters",434,0.4,0.71,-1,1.8,0.572,FALSE
Winner vote share (% valid votes),Municipality size,">= 1,000 registered voters",63,-2.45,2.96,-8.26,3.36,0.408,FALSE
Winner vote share (% valid votes),Installation power,Large >= 7 MW,250,-0.17,0.98,-2.09,1.75,0.859,FALSE
Winner vote share (% valid votes),Installation power,Small < 7 MW,247,0.09,1.08,-2.04,2.21,0.937,FALSE
Winner vote share (% valid votes),Cohorts,B 2014-2020,637,-0.82,0.69,-2.18,0.53,0.233,FALSE
Winner vote share (% valid votes),Cohorts,C 2020-2026,329,0.57,1.07,-1.53,2.66,0.596,FALSE
Winner vote share (% valid votes),Competitiveness,Competitive,222,0.32,0.92,-1.49,2.13,0.728,FALSE
Winner vote share (% valid votes),Competitiveness,Non-competitive,275,-2.06,1.01,-4.05,-0.08,0.042,TRUE
Abstention (% registered),Reference,Reference (Full Cohort A),497,0.59,0.33,-0.06,1.24,0.074,FALSE
Abstention (% registered),Milestones,Application filed,662,0.01,0.28,-0.53,0.55,0.972,FALSE
Abstention (% registered),Milestones,Authorization granted,674,-0.23,0.28,-0.79,0.32,0.411,FALSE
Abstention (% registered),Milestones,Commissioning,497,0.59,0.33,-0.06,1.24,0.074,FALSE
Abstention (% registered),Regions,Brittany,46,0.88,0.85,-0.79,2.55,0.3,FALSE
Abstention (% registered),Regions,Grand Est,139,1.03,0.69,-0.31,2.38,0.133,FALSE
Abstention (% registered),Regions,Hauts-de-France,116,1.12,0.67,-0.19,2.43,0.093,FALSE
Abstention (% registered),Regions,Normandy,28,0.26,1.49,-2.66,3.17,0.862,FALSE
Abstention (% registered),Regions,Other regions,168,0,0.55,-1.08,1.09,0.997,FALSE
Abstention (% registered),Electoral system,List ballot,10,-0.57,1.87,-4.24,3.1,0.762,FALSE
Abstention (% registered),Electoral system,Plurality/individual,487,0.62,0.33,-0.04,1.27,0.064,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2008,178,0.5,0.52,-0.52,1.52,0.335,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2014,114,0.74,0.73,-0.7,2.18,0.313,FALSE
Abstention (% registered),Mayor stability,Same mayor 2008-2014,188,0.63,0.54,-0.43,1.69,0.243,FALSE
Abstention (% registered),Municipality size,"< 1,000 registered voters",434,0.79,0.35,0.09,1.48,0.027,TRUE
Abstention (% registered),Municipality size,">= 1,000 registered voters",63,-0.63,0.86,-2.31,1.06,0.465,FALSE
Abstention (% registered),Installation power,Large >= 7 MW,250,0.49,0.44,-0.36,1.34,0.261,FALSE
Abstention (% registered),Installation power,Small < 7 MW,247,0.69,0.49,-0.27,1.65,0.159,FALSE
Abstention (% registered),Cohorts,B 2014-2020,637,-0.53,0.41,-1.34,0.28,0.203,FALSE
Abstention (% registered),Cohorts,C 2020-2026,332,0.87,0.61,-0.33,2.07,0.154,FALSE
