Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Winner vote share (% valid votes),Electoral system,List ballot,90,2.66,2.51,-2.25,7.57,0.288,FALSE
Winner vote share (% valid votes),Electoral system,Plurality/individual,554,-1.46,0.71,-2.86,-0.07,0.04,TRUE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2014,239,-1.47,1.23,-3.88,0.94,0.232,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2020,163,-2.15,1.32,-4.74,0.44,0.103,FALSE
Winner vote share (% valid votes),Mayor stability,Same mayor 2014-2020,219,0.67,1.08,-1.45,2.79,0.536,FALSE
Winner vote share (% valid votes),Municipality size,"< 1,000 registered voters",582,-1.04,0.72,-2.44,0.37,0.147,FALSE
Winner vote share (% valid votes),Municipality size,">= 1,000 registered voters",62,0.62,2.93,-5.12,6.36,0.832,FALSE
Winner vote share (% valid votes),Installation power,Large >= 8 MW,335,0.01,0.93,-1.82,1.83,0.995,FALSE
Winner vote share (% valid votes),Installation power,Small < 8 MW,309,-1.96,1.03,-3.98,0.06,0.057,FALSE
Winner vote share (% valid votes),Cohorts,A 2008-2014,489,-0.16,0.75,-1.64,1.32,0.835,FALSE
Winner vote share (% valid votes),Cohorts,C 2020-2026,353,0.11,1.02,-1.88,2.11,0.91,FALSE
Winner vote share (% valid votes),Competitiveness,Competitive,164,-1.79,1.63,-4.99,1.41,0.273,FALSE
Winner vote share (% valid votes),Competitiveness,Non-competitive,480,-1.06,0.71,-2.44,0.33,0.135,FALSE
Winner vote share (% valid votes),Income,High,289,-0.4,1.13,-2.62,1.82,0.723,FALSE
Winner vote share (% valid votes),Income,Low,287,-1.22,0.99,-3.17,0.73,0.22,FALSE
Abstention (% registered),Reference,Reference (Full Cohort B),644,-0.86,0.42,-1.68,-0.04,0.04,TRUE
Abstention (% registered),Milestones,Application filed,566,-0.58,0.37,-1.3,0.15,0.12,FALSE
Abstention (% registered),Milestones,Authorization granted,638,-0.97,0.39,-1.73,-0.21,0.012,TRUE
Abstention (% registered),Milestones,Commissioning,644,-0.86,0.42,-1.68,-0.04,0.04,TRUE
