Variable,N_treatment,Mean_treatment,SD_treatment,N_control,Mean_control,SD_control,Diff,p
Municipalities (N),644,NA,NA,8280,NA,NA,NA,NA
Registered voters (2014),644,422.23,545,8280,503.12,609.57,-80.88,0
"Median household income (EUR, 2014)",576,19308.53,1997.54,8280,19610.85,2125.37,-302.32,0.001
"Municipal investment per capita (EUR, 2013)",644,9846.72,5592.12,8280,9647.05,5219.19,199.67,0.381
Wind speed at 100m (m/s),643,6.88,0.62,8280,6.82,0.68,0.06,0.021
"Incumbent candidacy rate (%, 2014)",590,70.68,45.56,7477,72.02,44.89,-1.34,0.49
"Incumbent reelection rate (%, 2014)",621,61.51,48.7,7586,61.75,48.6,-0.23,0.909
"Winner vote share (% valid votes, 2014)",644,81.53,15.01,8276,81.48,15.75,0.05,0.93
"Abstention rate (% registered, 2014)",644,23.21,8.78,8280,24.51,8.63,-1.3,0
