spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
[Regions] Other regions (n=164),FALSE,"Reelection
(pp)",154,4.87533329869424,5.879938734493912,-6.6493466209138266,16.400013218302306,0.40708372354562894,FALSE,p >= 0.05
[Regions] Other regions (n=164),FALSE,"Winner vote share
(% valid votes)",164,-0.9625697360708786,1.4302524617022216,-3.765864561007233,1.8407250888654758,0.5009858903576575,FALSE,p >= 0.05
[Regions] Other regions (n=164),FALSE,"Abstention
(% registered)",164,0.14361943710799002,0.5556055050567636,-0.9453673528032667,1.2326062270192466,0.7960421137096467,FALSE,p >= 0.05
[Regions] Other regions (n=164),FALSE,"Candidate turnover
(%)",124,0,NA,NA,NA,NA,NA,NA
[Regions] Other regions (n=164),FALSE,"Incumbent vote share
(% valid votes)",107,-0.32666935119166635,2.614293375553476,-5.450684367276479,4.797345664893146,0.9005781479244208,FALSE,p >= 0.05
[Electoral system] Plurality/individual (n=479),FALSE,"Candidacy
(pp)",441,1.652711603385324,3.3291401873992226,-4.872403163917152,8.1778263706878,0.6196004369520027,FALSE,p >= 0.05
[Electoral system] Plurality/individual (n=479),FALSE,"Reelection
(pp)",467,1.0312121310960292,3.4027809436900385,-5.638238518536446,7.700662780728504,0.7618602301958515,FALSE,p >= 0.05
[Electoral system] Plurality/individual (n=479),FALSE,"Winner vote share
(% valid votes)",479,-0.26115263211598777,0.7593250074551442,-1.7494296467280703,1.2271243824960947,0.730909619544134,FALSE,p >= 0.05
[Electoral system] Plurality/individual (n=479),FALSE,"Abstention
(% registered)",479,0.8096382220366771,0.3391605352900984,0.1448835728680843,1.47439287120527,0.017000229063140436,TRUE,p < 0.05
[Electoral system] Plurality/individual (n=479),FALSE,"Candidate turnover
(%)",403,0,NA,NA,NA,NA,NA,NA
[Electoral system] Plurality/individual (n=479),FALSE,"Incumbent vote share
(% valid votes)",348,0.20213966786761922,1.278468587870792,-2.303658764359133,2.7079381000943714,0.8743789751226044,FALSE,p >= 0.05
[Electoral system] List ballot (n=10),FALSE,"Candidacy
(pp)",6,-22.464301710938212,31.08867590662641,-83.39810648792597,38.469503066049555,0.4716716823931105,FALSE,p >= 0.05
[Electoral system] List ballot (n=10),FALSE,"Reelection
(pp)",7,7.94485076352962,32.58154506297532,-55.914977559902006,71.80467908696124,0.8078605217391085,FALSE,p >= 0.05
