spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
[Installation power] Small < 9 MW (n=148),FALSE,"Reelection
(pp)",129,11.928486750553402,6.504340667789441,-0.8200209583139006,24.676994459420705,0.06670456150500352,FALSE,p >= 0.05
[Installation power] Small < 9 MW (n=148),FALSE,"Winner vote share
(% valid votes)",146,1.5334167751608774,1.4484430827047738,-1.3055316669404793,4.372365217262234,0.2897832437338903,FALSE,p >= 0.05
[Installation power] Small < 9 MW (n=148),FALSE,"Abstention
(% registered)",148,0.27152845228662126,0.8262869903557598,-1.3479940488106679,1.8910509533839104,0.7424566411884672,FALSE,p >= 0.05
[Installation power] Small < 9 MW (n=148),FALSE,"Candidate turnover
(%)",146,-0.8516886488383696,1.9880858062323359,-4.7483368290537475,3.0449595313770086,0.6683742320982428,FALSE,p >= 0.05
[Installation power] Small < 9 MW (n=148),FALSE,"Incumbent vote share
(% valid votes)",79,1.6182528175692137,2.8897211561318707,-4.045600648449254,7.28210628358768,0.5755287690088838,FALSE,p >= 0.05
[Installation power] Large >= 9 MW (n=184),FALSE,"Candidacy
(pp)",163,-6.638434738776527,5.3305321251931685,-17.086277704155137,3.8094082266020832,0.21303884476773902,FALSE,p >= 0.05
[Installation power] Large >= 9 MW (n=184),FALSE,"Reelection
(pp)",163,-2.8280236063855364,5.834833354103657,-14.264296980428703,8.608249767657632,0.6279179150006166,FALSE,p >= 0.05
[Installation power] Large >= 9 MW (n=184),FALSE,"Winner vote share
(% valid votes)",183,-0.77181714202959,1.5342999048008974,-3.779044955439349,2.235410671380169,0.6149482332899556,FALSE,p >= 0.05
[Installation power] Large >= 9 MW (n=184),FALSE,"Abstention
(% registered)",184,0.42346782744926237,0.8853636362886571,-1.3118448996765055,2.1587805545750305,0.6324504536138112,FALSE,p >= 0.05
[Installation power] Large >= 9 MW (n=184),FALSE,"Candidate turnover
(%)",180,0.9853012037810466,1.7850299674072654,-2.5133575323371935,4.483959939899287,0.5809773936704425,FALSE,p >= 0.05
[Installation power] Large >= 9 MW (n=184),FALSE,"Incumbent vote share
(% valid votes)",77,-0.6645462139592395,2.8321984899918835,-6.215655254343331,4.886562826424853,0.8145081024045844,FALSE,p >= 0.05
[Competitiveness] Competitive (n=70),FALSE,"Candidacy
(pp)",58,11.553502778939578,9.639702239005517,-7.3403136095112345,30.44731916739039,0.2309135275172085,FALSE,p >= 0.05
[Competitiveness] Competitive (n=70),FALSE,"Reelection
(pp)",58,19.96144740398943,10.932594083960208,-1.4664370005725793,41.38933180855143,0.06808042579268171,FALSE,p >= 0.05
[Competitiveness] Competitive (n=70),FALSE,"Winner vote share
(% valid votes)",68,0.7040970553881221,2.6601007634348264,-4.509700440944137,5.917894551720382,0.7912841273018488,FALSE,p >= 0.05
[Competitiveness] Competitive (n=70),FALSE,"Abstention
(% registered)",70,-0.6360582562229613,1.3818460967176378,-3.344476605789531,2.0723600933436086,0.6453645579176668,FALSE,p >= 0.05
[Competitiveness] Competitive (n=70),FALSE,"Candidate turnover
(%)",66,1.4411896547215375,2.713834051995849,-3.877925087190326,6.760304396633401,0.595461215711371,FALSE,p >= 0.05
[Competitiveness] Competitive (n=70),FALSE,"Incumbent vote share
(% valid votes)",32,5.745898647184788,6.362662649832752,-6.724920146487406,18.216717440856982,0.3671770411519838,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=262),FALSE,"Candidacy
(pp)",234,-1.2847420526194144,4.236996030774756,-9.589254272937936,7.019770167699107,0.7617325276739089,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=262),FALSE,"Reelection
(pp)",234,-0.4943002392049267,4.689303405141273,-9.685334913281823,8.696734434871969,0.9160537538618495,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=262),FALSE,"Winner vote share
(% valid votes)",261,-0.09504132504697069,1.0771445963394621,-2.2062447338723166,2.016162083778375,0.9296928826075528,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=262),FALSE,"Abstention
(% registered)",262,0.45380164266867934,0.6748142132385356,-0.8688342152788506,1.7764375006162092,0.5012983020214775,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=262),FALSE,"Candidate turnover
(%)",260,0.016850021412539187,1.5275804466112728,-2.9772076539455554,3.0109076967706336,0.9911994214961108,FALSE,p >= 0.05
[Competitiveness] Non-competitive (n=262),FALSE,"Incumbent vote share
(% valid votes)",124,-0.3349275188444988,1.9332062431932087,-4.124011755503187,3.45415671781419,0.8624712549934147,FALSE,p >= 0.05
[Income] Low (n=157),FALSE,"Candidacy
(pp)",137,1.5861238217985156,5.589485318891649,-9.369267403229115,12.541515046826147,0.7766051746127579,FALSE,p >= 0.05
[Income] Low (n=157),FALSE,"Reelection
(pp)",137,0.7200118683665515,6.348880572019627,-11.723794052791916,13.16381778952502,0.9097141564518877,FALSE,p >= 0.05
[Income] Low (n=157),FALSE,"Winner vote share
(% valid votes)",153,-0.8836003461702715,1.6228788787910533,-4.064442948600735,2.297242256260193,0.5861544726324671,FALSE,p >= 0.05
[Income] Low (n=157),FALSE,"Abstention
(% registered)",156,-0.3168159518371841,0.9088409062453248,-2.0981441280780206,1.4645122244036526,0.7274140453041942,FALSE,p >= 0.05
[Income] Low (n=157),FALSE,"Candidate turnover
(%)",153,-1.0831197545469837,1.8225033387842946,-4.655226298564201,2.4889867894702338,0.5523467289263757,FALSE,p >= 0.05
[Income] Low (n=157),FALSE,"Incumbent vote share
(% valid votes)",70,-2.710554373522083,2.8230875129311053,-8.24380589886705,2.8226971518228834,0.33720708702921354,FALSE,p >= 0.05
[Income] High (n=158),FALSE,"Candidacy
(pp)",137,1.1695228087225595,5.87165414880376,-10.33891932293281,12.67796494037793,0.842130894280249,FALSE,p >= 0.05
[Income] High (n=158),FALSE,"Reelection
(pp)",137,4.650269634307519,6.420619103592285,-7.934143808733359,17.234683077348397,0.4689396891339028,FALSE,p >= 0.05
[Income] High (n=158),FALSE,"Winner vote share
(% valid votes)",157,1.836331163525624,1.5440808003219253,-1.1900672051053496,4.862729532156598,0.23439446345038287,FALSE,p >= 0.05
[Income] High (n=158),FALSE,"Abstention
(% registered)",157,0.873943593190422,0.8945576490813554,-0.8793893990090345,2.6272765853898785,0.32864167423704616,FALSE,p >= 0.05
[Income] High (n=158),FALSE,"Candidate turnover
(%)",155,1.882394845843736,2.085132099534422,-2.2044640692437305,5.969253760931203,0.366697212716405,FALSE,p >= 0.05
[Income] High (n=158),FALSE,"Incumbent vote share
(% valid votes)",75,2.4504094093113498,3.0884609344545906,-3.602974022219648,8.503792840842348,0.42767482671198476,FALSE,p >= 0.05
