id_poste_livraison,id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,x_poste_livraison,y_poste_livraison,epsg,etat_parc,statut_parc,date_maj
0100046113_PL1,0100046113,CENTRALE EOLIENNE LA VERTE EPINE 2,16195,LUSSAC,16,75,503896,6.531707e+06,2154,,En instruction,2024-05-06 00:00:00
0005425808_PL1,0005425808,Parc éolien du Tonnerois - GREENSOLVER,89290,PASILLY,89,27,779151.56,6.7362225e+06,2154,En exploitation,Autorisé,2024-10-24 00:00:00
0006307897_PL1,0006307897,Ferme eolienne de Chigne,49228,NOYANT-VILLAGES,49,52,481878.8,6.720839e+06,2154,En exploitation,Autorisé,2023-06-16 00:00:00
0100000260_PL2,0100000260,Parc éolien de la Croisée de Chabanne,86055,LA CHAPELLE-BATON,86,75,501210,6.572785e+06,2154,,En instruction,2022-10-20 00:00:00
0100008487_PL5,0100008487,Ferme eolienne Haussu,60112,BRUNVILLERS-LA-MOTTE,60,32,663913,6.940908e+06,2154,,En instruction,2025-02-14 00:00:00
0003012123_PL2,0003012123,EOLE HSR,08413,SERAINCOURT,08,44,781900,6.948459e+06,2154,En attente de construction,Autorisé,2025-03-24 00:00:00
0005107384_PL1,0005107384,PARC EOLIEN ENERTRAG AMIENOIS SCS,80357,FRESNOY-AU-VAL,80,32,627400.25,6.9654675e+06,2154,En exploitation,Autorisé,2025-02-20 00:00:00
0006112682_PL1,0006112682,CN AIR Pouzin,07181,LE POUZIN,07,84,839053.75,6.4068225e+06,2154,En exploitation,Autorisé,2024-07-16 00:00:00
0005704330_PL3,0005704330,Parc éolien de Mont Gimont,52065,BOUZANCOURT,52,44,851992,6.803203e+06,2154,En exploitation,Autorisé,2023-03-27 00:00:00
0005107645_PL1,0005107645,Ferme Eolienne des Villes d'Oyses SAS,02017,ANGUILCOURT LE SART,02,32,729542,6.957025e+06,2154,En exploitation,Autorisé,2026-03-12 08:35:10.565026
0100000231_PL3,0100000231,BORALEX OUEST-VRON,80806,VILLERS-SUR-AUTHIE,80,32,608762.6,7.0225915e+06,2154,,En instruction,2026-02-12 09:05:41.138558
0100026628_PL1,0100026628,SOCIETE D'EXPLOITATION DU PARC EOLIEN JOUBARBE,52494,TREIX,52,44,865612,6.784246e+06,2154,,En instruction,2024-01-08 00:00:00
0003700036_PL1,0003700036,EDF EN France - SAS Parc éolien de Sauveterre 2,81278,SAUVETERRE,81,76,664724,6.26007e+06,2154,,En instruction,2026-01-09 20:24:48.344
0005107876_PL1,0005107876,NEUILLY SAINT-FRONT ENERGIES,02543,NEUILLY ST FRONT,02,32,718101.56,6.894685e+06,2154,En exploitation,Autorisé,2023-03-02 00:00:00
0005704629_PL2,0005704629,Eole de Plan-Fleury SAS,10075,CHAMPFLEURY,10,44,775970,6.833572e+06,2154,En exploitation,Autorisé,2025-12-16 00:00:00
0005704412_PL2,0005704412,Parc éolien du VALBIN SNC,10213,MAGNANT,10,44,802473,6.784234e+06,2154,En exploitation,Autorisé,2026-03-13 12:38:11.401088
0003101276_PL2,0003101276,Parc éolien de Cerisou,86255,SAVIGNE,86,75,496431,6.56591e+06,2154,En exploitation,Autorisé,2023-03-30 00:00:00
0005108522_PL1,0005108522,Parc éolien de Montelu,02411,LATILLY,02,32,724248.4,6.895698e+06,2154,En exploitation,Autorisé,2023-01-02 00:00:00
0003801652_PL2,0003801652,SAS Extension du parc des Nouvions,02559,NOUVION-ET-CATILLON,02,32,735968,6.958959e+06,2154,En exploitation,Autorisé,2025-09-03 00:00:00
0006209179_PL1,0006209179,FERME EOLIENNE DE LAUNSTROFF & WALDWISSE,57388,LAUNSTROFF,57,44,956939.25,6.9298375e+06,2154,En exploitation,Autorisé,2026-03-12 09:03:45.495016
0005107412_PL1,0005107412,PETIT TERROIR 2,80527,MENESLIES,80,32,592323,6.997429e+06,2154,En exploitation,Autorisé,2023-03-29 00:00:00
0100037351_PL1,0100037351,Ferme eolienne Villeuse,80682,ROUVROY-EN-SANTERRE,80,32,679292,6.966033e+06,2154,,En instruction,2024-02-16 00:00:00
0006209288_PL1,0006209288,SEFEOSC SAS,55207,GERY,55,44,868529.7,6.858029e+06,2154,En exploitation,Autorisé,2023-05-16 00:00:00
0006209316_PL2,0006209316,Parc éolien de Rumont Haut de Bane,55178,ERIZE ST DIZIER,55,44,868075,6.861668e+06,2154,En attente de construction,Autorisé,2023-10-16 00:00:00
0005704577_PL2,0005704577,SEINE & AUBE ENERGIE,10284,PERIGNY-LA-ROSE,10,44,745380.75,6.829106e+06,2154,En exploitation,Autorisé,2022-12-14 00:00:00
