Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Winner vote share (% valid votes),Electoral system,List ballot,66,-1.8,2.62,-6.94,3.34,0.492,FALSE
Winner vote share (% valid votes),Electoral system,Plurality/individual,287,0.95,1.1,-1.21,3.1,0.389,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2020,124,1.18,1.82,-2.38,4.74,0.517,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2026,103,0.33,1.97,-3.52,4.19,0.865,FALSE
Winner vote share (% valid votes),Mayor stability,Same mayor 2020-2026,95,0.1,1.51,-2.85,3.05,0.946,FALSE
Winner vote share (% valid votes),Municipality size,"< 1,000 registered voters",311,0.47,1.1,-1.69,2.63,0.669,FALSE
Winner vote share (% valid votes),Municipality size,">= 1,000 registered voters",42,0.16,2.75,-5.23,5.55,0.954,FALSE
Winner vote share (% valid votes),Installation power,Large >= 9 MW,177,-0.03,1.53,-3.02,2.96,0.985,FALSE
Winner vote share (% valid votes),Installation power,Small < 9 MW,176,0.91,1.36,-1.74,3.57,0.5,FALSE
Winner vote share (% valid votes),Cohorts,A 2008-2014,489,0.06,0.74,-1.39,1.51,0.935,FALSE
Winner vote share (% valid votes),Cohorts,B 2014-2020,644,-0.76,0.69,-2.11,0.59,0.27,FALSE
Winner vote share (% valid votes),Competitiveness,Competitive,68,0.94,2.65,-4.26,6.15,0.722,FALSE
Winner vote share (% valid votes),Competitiveness,Non-competitive,285,0.26,1.01,-1.71,2.23,0.798,FALSE
Winner vote share (% valid votes),Income,High,166,2.19,1.43,-0.62,5,0.127,FALSE
Winner vote share (% valid votes),Income,Low,163,-0.91,1.59,-4.03,2.22,0.569,FALSE
Abstention (% registered),Reference,Reference (Full Cohort C),356,0.54,0.59,-0.62,1.7,0.364,FALSE
Abstention (% registered),Milestones,Application filed,347,0.79,0.46,-0.11,1.69,0.086,FALSE
Abstention (% registered),Milestones,Authorization granted,282,1.52,0.59,0.35,2.68,0.011,TRUE
Abstention (% registered),Milestones,Commissioning,356,0.54,0.59,-0.62,1.7,0.364,FALSE
Abstention (% registered),Regions,Brittany,25,2.45,1.81,-1.1,6,0.177,FALSE
Abstention (% registered),Regions,Grand Est,40,-0.49,1.88,-4.18,3.19,0.793,FALSE
Abstention (% registered),Regions,Hauts-de-France,108,0.74,1.13,-1.47,2.95,0.512,FALSE
Abstention (% registered),Regions,Normandy,28,0.02,2.87,-5.61,5.65,0.994,FALSE
Abstention (% registered),Regions,Other regions,155,0.58,0.8,-1,2.15,0.472,FALSE
Abstention (% registered),Electoral system,List ballot,69,0.19,1.07,-1.91,2.29,0.861,FALSE
Abstention (% registered),Electoral system,Plurality/individual,287,0.62,0.68,-0.72,1.96,0.368,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2020,124,0.35,0.95,-1.51,2.2,0.714,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2026,103,0.69,1.13,-1.52,2.9,0.541,FALSE
Abstention (% registered),Mayor stability,Same mayor 2020-2026,95,-0.3,1.13,-2.51,1.92,0.792,FALSE
Abstention (% registered),Municipality size,"< 1,000 registered voters",311,0.46,0.66,-0.82,1.75,0.478,FALSE
Abstention (% registered),Municipality size,">= 1,000 registered voters",45,0.94,1.18,-1.36,3.24,0.424,FALSE
Abstention (% registered),Installation power,Large >= 9 MW,178,0.97,0.87,-0.75,2.68,0.269,FALSE
Abstention (% registered),Installation power,Small < 9 MW,178,0.12,0.79,-1.43,1.66,0.884,FALSE
Abstention (% registered),Cohorts,A 2008-2014,489,0.57,0.33,-0.07,1.22,0.082,FALSE
Abstention (% registered),Cohorts,B 2014-2020,644,-0.51,0.41,-1.32,0.29,0.212,FALSE
Abstention (% registered),Competitiveness,Competitive,70,-0.1,1.39,-2.82,2.62,0.941,FALSE
Abstention (% registered),Competitiveness,Non-competitive,286,0.59,0.63,-0.64,1.83,0.346,FALSE
Abstention (% registered),Income,High,166,1.14,0.82,-0.47,2.74,0.166,FALSE
Abstention (% registered),Income,Low,166,-0.67,0.9,-2.42,1.09,0.457,FALSE
Candidate turnover (%),Reference,Reference (Full Cohort C),350,-0.24,1.3,-2.79,2.31,0.853,FALSE
Candidate turnover (%),Milestones,Application filed,340,0.4,0.89,-1.33,2.14,0.65,FALSE
Candidate turnover (%),Milestones,Authorization granted,281,0.31,1.3,-2.24,2.86,0.811,FALSE
Candidate turnover (%),Milestones,Commissioning,350,-0.24,1.3,-2.79,2.31,0.853,FALSE
Candidate turnover (%),Regions,Brittany,23,-3.56,3.82,-11.05,3.93,0.352,FALSE
Candidate turnover (%),Regions,Grand Est,40,-0.39,3.8,-7.85,7.06,0.917,FALSE
Candidate turnover (%),Regions,Hauts-de-France,106,1.74,2.78,-3.71,7.19,0.532,FALSE
Candidate turnover (%),Regions,Normandy,28,8.19,4.21,-0.07,16.44,0.052,FALSE
Candidate turnover (%),Regions,Other regions,153,-2.5,1.78,-5.98,0.98,0.159,FALSE
Candidate turnover (%),Electoral system,List ballot,66,-1.16,2.68,-6.42,4.09,0.664,FALSE
Candidate turnover (%),Electoral system,Plurality/individual,284,-0.04,1.47,-2.92,2.84,0.977,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2020,123,0.69,1.98,-3.19,4.57,0.729,FALSE
Candidate turnover (%),Mayor stability,Mayor turnover 2026,103,1.84,2.43,-2.92,6.6,0.449,FALSE
Candidate turnover (%),Mayor stability,Same mayor 2020-2026,95,-0.9,2.15,-5.1,3.31,0.676,FALSE
Candidate turnover (%),Municipality size,"< 1,000 registered voters",308,-0.57,1.43,-3.37,2.24,0.693,FALSE
Candidate turnover (%),Municipality size,">= 1,000 registered voters",42,2.38,2.32,-2.16,6.92,0.304,FALSE
Candidate turnover (%),Installation power,Large >= 9 MW,175,-0.11,1.86,-3.77,3.54,0.951,FALSE
Candidate turnover (%),Installation power,Small < 9 MW,175,-0.37,1.8,-3.89,3.15,0.837,FALSE
Candidate turnover (%),Cohorts,A 2008-2014,403,0,NA,NA,NA,NA,NA
Candidate turnover (%),Cohorts,B 2014-2020,628,-0.63,1.1,-2.78,1.52,0.564,FALSE
Candidate turnover (%),Competitiveness,Competitive,66,0.99,2.74,-4.39,6.36,0.72,FALSE
Candidate turnover (%),Competitiveness,Non-competitive,284,-0.46,1.46,-3.32,2.41,0.754,FALSE
Candidate turnover (%),Income,High,164,0.92,2.04,-3.07,4.92,0.65,FALSE
Candidate turnover (%),Income,Low,163,-0.66,1.75,-4.09,2.78,0.708,FALSE
Incumbent vote share (% valid votes),Reference,Reference (Full Cohort C),166,0.16,1.96,-3.68,3.99,0.935,FALSE
Incumbent vote share (% valid votes),Milestones,Application filed,149,0.21,1.16,-2.06,2.49,0.855,FALSE
Incumbent vote share (% valid votes),Milestones,Authorization granted,118,-0.57,2.18,-4.85,3.71,0.793,FALSE
Incumbent vote share (% valid votes),Milestones,Commissioning,166,0.16,1.96,-3.68,3.99,0.935,FALSE
Incumbent vote share (% valid votes),Regions,Brittany,10,18.27,11,-3.28,39.83,0.098,FALSE
Incumbent vote share (% valid votes),Regions,Grand Est,16,-2.25,3.6,-9.32,4.81,0.532,FALSE
Incumbent vote share (% valid votes),Regions,Hauts-de-France,56,-0.58,3.21,-6.88,5.72,0.857,FALSE
Incumbent vote share (% valid votes),Regions,Normandy,15,-4.32,5.83,-15.74,7.1,0.458,FALSE
Incumbent vote share (% valid votes),Regions,Other regions,69,-0.69,2.92,-6.41,5.03,0.813,FALSE
Incumbent vote share (% valid votes),Electoral system,List ballot,29,-7.16,5.52,-17.98,3.66,0.195,FALSE
Incumbent vote share (% valid votes),Electoral system,Plurality/individual,137,1.05,2.06,-2.99,5.09,0.61,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2020,71,-0.87,7.91,-16.36,14.62,0.912,FALSE
Incumbent vote share (% valid votes),Mayor stability,Same mayor 2020-2026,95,0.1,1.51,-2.85,3.05,0.946,FALSE
Incumbent vote share (% valid votes),Municipality size,"< 1,000 registered voters",147,0.22,2.05,-3.8,4.23,0.915,FALSE
Incumbent vote share (% valid votes),Municipality size,">= 1,000 registered voters",19,-1.17,6.67,-14.25,11.9,0.861,FALSE
Incumbent vote share (% valid votes),Installation power,Large >= 9 MW,76,-0.64,2.97,-6.46,5.18,0.829,FALSE
Incumbent vote share (% valid votes),Installation power,Small < 9 MW,90,0.77,2.58,-4.29,5.83,0.765,FALSE
Incumbent vote share (% valid votes),Cohorts,A 2008-2014,351,0.42,1.24,-2,2.84,0.735,FALSE
Incumbent vote share (% valid votes),Cohorts,B 2014-2020,434,1.63,1.3,-0.91,4.18,0.209,FALSE
Incumbent vote share (% valid votes),Competitiveness,Competitive,31,9.89,5.96,-1.79,21.58,0.097,FALSE
Incumbent vote share (% valid votes),Competitiveness,Non-competitive,135,-1.06,1.75,-4.5,2.37,0.543,FALSE
Incumbent vote share (% valid votes),Income,High,77,2.52,3.04,-3.45,8.48,0.408,FALSE
Incumbent vote share (% valid votes),Income,Low,75,-4.05,2.75,-9.44,1.34,0.141,FALSE
