Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Winner vote share (% valid votes),Electoral system,List ballot,86,2.65,2.47,-2.19,7.49,0.284,FALSE
Winner vote share (% valid votes),Electoral system,Plurality/individual,551,-1.47,0.7,-2.83,-0.11,0.035,TRUE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2014,235,-1.52,1.21,-3.88,0.85,0.209,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2020,162,-1.62,1.29,-4.14,0.91,0.209,FALSE
Winner vote share (% valid votes),Mayor stability,Same mayor 2014-2020,219,0.79,1.06,-1.28,2.86,0.457,FALSE
Winner vote share (% valid votes),Municipality size,"< 1,000 registered voters",576,-0.98,0.7,-2.34,0.39,0.161,FALSE
Winner vote share (% valid votes),Municipality size,">= 1,000 registered voters",61,-0.12,2.91,-5.82,5.58,0.967,FALSE
Winner vote share (% valid votes),Installation power,Large >= 8 MW,331,-0.16,0.92,-1.97,1.64,0.859,FALSE
Winner vote share (% valid votes),Installation power,Small < 8 MW,306,-1.7,1.02,-3.69,0.3,0.096,FALSE
Winner vote share (% valid votes),Cohorts,A 2008-2014,497,0.12,0.73,-1.32,1.56,0.869,FALSE
Winner vote share (% valid votes),Cohorts,C 2020-2026,329,0.71,1.07,-1.38,2.8,0.506,FALSE
Winner vote share (% valid votes),Competitiveness,Competitive,161,-3.1,1.63,-6.29,0.09,0.057,FALSE
Winner vote share (% valid votes),Competitiveness,Non-competitive,476,-0.7,0.69,-2.04,0.64,0.307,FALSE
Winner vote share (% valid votes),Income,High,285,-0.94,1.12,-3.14,1.26,0.402,FALSE
Winner vote share (% valid votes),Income,Low,284,-0.79,0.97,-2.68,1.11,0.414,FALSE
Abstention (% registered),Reference,Reference (Full Cohort B),637,-0.41,0.41,-1.22,0.4,0.318,FALSE
Abstention (% registered),Milestones,Application filed,585,-0.2,0.34,-0.87,0.46,0.548,FALSE
Abstention (% registered),Milestones,Authorization granted,628,-0.5,0.37,-1.23,0.22,0.175,FALSE
Abstention (% registered),Milestones,Commissioning,637,-0.41,0.41,-1.22,0.4,0.318,FALSE
Abstention (% registered),Regions,Brittany,24,0.46,1.99,-3.44,4.36,0.819,FALSE
Abstention (% registered),Regions,Grand Est,99,-3.34,1.12,-5.53,-1.15,0.003,TRUE
Abstention (% registered),Regions,Hauts-de-France,230,-0.57,0.75,-2.05,0.91,0.45,FALSE
Abstention (% registered),Regions,Normandy,35,-2.51,1.98,-6.39,1.38,0.206,FALSE
Abstention (% registered),Regions,Other regions,249,-0.05,0.57,-1.17,1.07,0.933,FALSE
Abstention (% registered),Electoral system,List ballot,86,0.6,1.13,-1.62,2.81,0.598,FALSE
Abstention (% registered),Electoral system,Plurality/individual,551,-0.56,0.44,-1.43,0.31,0.207,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2014,235,-1.11,0.71,-2.5,0.28,0.119,FALSE
Abstention (% registered),Mayor stability,Mayor turnover 2020,162,-0.54,0.76,-2.02,0.95,0.478,FALSE
