Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Winner vote share (% valid votes),Electoral system,List ballot,66,-1.84,2.61,-6.96,3.28,0.481,FALSE
Winner vote share (% valid votes),Electoral system,Plurality/individual,287,0.62,1.09,-1.52,2.75,0.572,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2020,124,1.07,1.79,-2.44,4.58,0.55,FALSE
Winner vote share (% valid votes),Mayor stability,Mayor turnover 2026,103,-0.14,1.97,-4,3.71,0.942,FALSE
Winner vote share (% valid votes),Mayor stability,Same mayor 2020-2026,95,-0.63,1.49,-3.54,2.28,0.672,FALSE
Winner vote share (% valid votes),Municipality size,"< 1,000 registered voters",311,0.08,1.09,-2.06,2.21,0.942,FALSE
Winner vote share (% valid votes),Municipality size,">= 1,000 registered voters",42,0.42,2.85,-5.18,6.01,0.884,FALSE
Winner vote share (% valid votes),Installation power,Large >= 9 MW,177,-0.35,1.48,-3.24,2.55,0.814,FALSE
Winner vote share (% valid votes),Installation power,Small < 9 MW,176,0.59,1.36,-2.08,3.26,0.667,FALSE
Winner vote share (% valid votes),Cohorts,A 2008-2014,489,-0.16,0.75,-1.64,1.32,0.835,FALSE
Winner vote share (% valid votes),Cohorts,B 2014-2020,644,-0.93,0.71,-2.32,0.45,0.188,FALSE
Winner vote share (% valid votes),Competitiveness,Competitive,68,1.91,2.66,-3.31,7.13,0.473,FALSE
Winner vote share (% valid votes),Competitiveness,Non-competitive,285,-0.25,0.99,-2.2,1.7,0.801,FALSE
Winner vote share (% valid votes),Income,High,166,1.58,1.42,-1.21,4.37,0.267,FALSE
Winner vote share (% valid votes),Income,Low,163,-0.63,1.57,-3.7,2.44,0.687,FALSE
Abstention (% registered),Reference,Reference (Full Cohort C),356,0.02,0.59,-1.13,1.17,0.972,FALSE
Abstention (% registered),Milestones,Application filed,347,0.38,0.47,-0.55,1.3,0.424,FALSE
Abstention (% registered),Milestones,Authorization granted,282,0.82,0.48,-0.12,1.76,0.088,FALSE
Abstention (% registered),Milestones,Commissioning,356,0.02,0.59,-1.13,1.17,0.972,FALSE
Abstention (% registered),Regions,Brittany,25,2.15,1.84,-1.45,5.75,0.242,FALSE
